experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_direction,est_type,est_hidden_size,seed
181,0.001,10000,1800,32,320,80,forward,LSTM,15,691
713,0.001,10000,3600,128,320,40,forward,RAND,15,273
274,0.001,10000,1800,1024,160,20,forward,FF,15,402
564,0.001,10000,300,32,320,80,forward,ZERO,15,297
137,0.001,10000,3600,128,320,40,forward,LSTM,15,48
372,0.001,10000,300,32,320,80,forward,FF,15,501
309,0.001,10000,300,1024,80,40,forward,FF,15,432
655,0.001,10000,1800,512,160,20,forward,RAND,15,148
429,0.001,10000,300,1024,320,10,forward,ZERO,15,158
47,0.001,10000,3600,1024,320,10,forward,LSTM,15,419
568,0.001,10000,1800,128,320,80,forward,ZERO,15,541
678,0.001,10000,300,512,40,40,forward,RAND,15,738
220,0.001,10000,1800,128,160,10,forward,FF,15,400
497,0.001,10000,3600,128,80,40,forward,ZERO,15,63
414,0.001,10000,300,512,160,10,forward,ZERO,15,650
733,0.001,10000,1800,32,80,80,forward,RAND,15,423
650,0.001,10000,3600,32,160,20,forward,RAND,15,58
621,0.001,10000,300,1024,320,10,forward,RAND,15,450
339,0.001,10000,300,128,40,80,forward,FF,15,492
585,0.001,10000,300,1024,40,10,forward,RAND,15,381
140,0.001,10000,3600,512,320,40,forward,LSTM,15,331
657,0.001,10000,300,1024,160,20,forward,RAND,15,123
77,0.001,10000,3600,128,160,20,forward,LSTM,15,499
39,0.001,10000,300,128,320,10,forward,LSTM,15,40
459,0.001,10000,300,128,160,20,forward,ZERO,15,692
700,0.001,10000,1800,128,160,40,forward,RAND,15,82
706,0.001,10000,1800,1024,160,40,forward,RAND,15,257
322,0.001,10000,1800,1024,160,40,forward,FF,15,466
258,0.001,10000,300,512,80,20,forward,FF,15,447
471,0.001,10000,300,128,320,20,forward,ZERO,15,372
554,0.001,10000,3600,32,160,80,forward,ZERO,15,33
720,0.001,10000,300,32,40,80,forward,RAND,15,183
460,0.001,10000,1800,128,160,20,forward,ZERO,15,276
682,0.001,10000,1800,1024,40,40,forward,RAND,15,305
739,0.001,10000,1800,512,80,80,forward,RAND,15,431
280,0.001,10000,1800,128,320,20,forward,FF,15,218
58,0.001,10000,1800,1024,40,20,forward,LSTM,15,451
241,0.001,10000,1800,32,40,20,forward,FF,15,535
362,0.001,10000,3600,32,160,80,forward,FF,15,20
330,0.001,10000,300,512,320,40,forward,FF,15,360
234,0.001,10000,300,512,320,10,forward,FF,15,363
698,0.001,10000,3600,32,160,40,forward,RAND,15,398
277,0.001,10000,1800,32,320,20,forward,FF,15,678
56,0.001,10000,3600,512,40,20,forward,LSTM,15,1
752,0.001,10000,3600,512,160,80,forward,RAND,15,396
479,0.001,10000,3600,1024,320,20,forward,ZERO,15,734
551,0.001,10000,3600,1024,80,80,forward,ZERO,15,721
565,0.001,10000,1800,32,320,80,forward,ZERO,15,73
734,0.001,10000,3600,32,80,80,forward,RAND,15,147
697,0.001,10000,1800,32,160,40,forward,RAND,15,611
757,0.001,10000,1800,32,320,80,forward,RAND,15,754
337,0.001,10000,1800,32,40,80,forward,FF,15,434
758,0.001,10000,3600,32,320,80,forward,RAND,15,277
29,0.001,10000,3600,128,160,10,forward,LSTM,15,496
270,0.001,10000,300,512,160,20,forward,FF,15,522
35,0.001,10000,3600,1024,160,10,forward,LSTM,15,404
147,0.001,10000,300,128,40,80,forward,LSTM,15,310
114,0.001,10000,300,512,80,40,forward,LSTM,15,415
286,0.001,10000,1800,1024,320,20,forward,FF,15,494
630,0.001,10000,300,512,40,20,forward,RAND,15,515
591,0.001,10000,300,128,80,10,forward,RAND,15,207
567,0.001,10000,300,128,320,80,forward,ZERO,15,547
124,0.001,10000,1800,128,160,40,forward,LSTM,15,413
198,0.001,10000,300,512,40,10,forward,FF,15,268
12,0.001,10000,300,32,80,10,forward,LSTM,15,278
176,0.001,10000,3600,512,160,80,forward,LSTM,15,344
688,0.001,10000,1800,128,80,40,forward,RAND,15,180
50,0.001,10000,3600,32,40,20,forward,LSTM,15,578
634,0.001,10000,1800,1024,40,20,forward,RAND,15,726
390,0.001,10000,300,512,40,10,forward,ZERO,15,631
538,0.001,10000,1800,1024,40,80,forward,ZERO,15,347
128,0.001,10000,3600,512,160,40,forward,LSTM,15,456
291,0.001,10000,300,128,40,40,forward,FF,15,233
481,0.001,10000,1800,32,40,40,forward,ZERO,15,747
222,0.001,10000,300,512,160,10,forward,FF,15,755
394,0.001,10000,1800,1024,40,10,forward,ZERO,15,56
532,0.001,10000,1800,128,40,80,forward,ZERO,15,29
36,0.001,10000,300,32,320,10,forward,LSTM,15,648
105,0.001,10000,300,1024,40,40,forward,LSTM,15,443
434,0.001,10000,3600,32,40,20,forward,ZERO,15,361
375,0.001,10000,300,128,320,80,forward,FF,15,702
581,0.001,10000,3600,128,40,10,forward,RAND,15,703
722,0.001,10000,3600,32,40,80,forward,RAND,15,510
572,0.001,10000,3600,512,320,80,forward,ZERO,15,217
61,0.001,10000,1800,32,80,20,forward,LSTM,15,364
577,0.001,10000,1800,32,40,10,forward,RAND,15,212
547,0.001,10000,1800,512,80,80,forward,ZERO,15,644
92,0.001,10000,3600,512,320,20,forward,LSTM,15,313
109,0.001,10000,1800,32,80,40,forward,LSTM,15,2
404,0.001,10000,3600,512,80,10,forward,ZERO,15,506
762,0.001,10000,300,512,320,80,forward,RAND,15,707
40,0.001,10000,1800,128,320,10,forward,LSTM,15,181
221,0.001,10000,3600,128,160,10,forward,FF,15,367
75,0.001,10000,300,128,160,20,forward,LSTM,15,351
517,0.001,10000,1800,32,320,40,forward,ZERO,15,656
212,0.001,10000,3600,512,80,10,forward,FF,15,299
288,0.001,10000,300,32,40,40,forward,FF,15,194
607,0.001,10000,1800,512,160,10,forward,RAND,15,117
738,0.001,10000,300,512,80,80,forward,RAND,15,448
247,0.001,10000,1800,512,40,20,forward,FF,15,12
692,0.001,10000,3600,512,80,40,forward,RAND,15,324
756,0.001,10000,300,32,320,80,forward,RAND,15,599
619,0.001,10000,1800,512,320,10,forward,RAND,15,688
684,0.001,10000,300,32,80,40,forward,RAND,15,373
617,0.001,10000,3600,128,320,10,forward,RAND,15,260
186,0.001,10000,300,512,320,80,forward,LSTM,15,78
156,0.001,10000,300,32,80,80,forward,LSTM,15,247
721,0.001,10000,1800,32,40,80,forward,RAND,15,459
312,0.001,10000,300,32,160,40,forward,FF,15,621
8,0.001,10000,3600,512,40,10,forward,LSTM,15,395
511,0.001,10000,1800,512,160,40,forward,ZERO,15,405
86,0.001,10000,3600,32,320,20,forward,LSTM,15,242
519,0.001,10000,300,128,320,40,forward,ZERO,15,766
600,0.001,10000,300,32,160,10,forward,RAND,15,469
524,0.001,10000,3600,512,320,40,forward,ZERO,15,69
428,0.001,10000,3600,512,320,10,forward,ZERO,15,474
293,0.001,10000,3600,128,40,40,forward,FF,15,178
516,0.001,10000,300,32,320,40,forward,ZERO,15,647
661,0.001,10000,1800,32,320,20,forward,RAND,15,130
658,0.001,10000,1800,1024,160,20,forward,RAND,15,574
625,0.001,10000,1800,32,40,20,forward,RAND,15,328
32,0.001,10000,3600,512,160,10,forward,LSTM,15,640
491,0.001,10000,3600,1024,40,40,forward,ZERO,15,116
715,0.001,10000,1800,512,320,40,forward,RAND,15,550
346,0.001,10000,1800,1024,40,80,forward,FF,15,628
679,0.001,10000,1800,512,40,40,forward,RAND,15,759
615,0.001,10000,300,128,320,10,forward,RAND,15,598
