experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_direction,est_type,est_hidden_size,seed,FIT,RMSE
52,0.001,10000,1800,128,40,20,forward,LSTM,15,215,97.96075439453125,4.876809194684029
202,0.001,10000,1800,1024,40,10,forward,FF,15,35,97.70951080322266,5.477643106132746
685,0.001,10000,1800,32,80,40,forward,RAND,15,227,98.08969116210938,4.568447824567556
455,0.001,10000,3600,1024,80,20,forward,ZERO,15,630,98.23980712890625,4.20945743098855
557,0.001,10000,3600,128,160,80,forward,ZERO,15,341,98.19523620605469,4.316049162298441
352,0.001,10000,1800,128,80,80,forward,FF,15,521,97.82108306884766,5.210808012634516
125,0.001,10000,3600,128,160,40,forward,LSTM,15,694,98.87449645996094,2.69160233438015
120,0.001,10000,300,32,160,40,forward,LSTM,15,725,93.58219146728516,15.34802746027708
694,0.001,10000,1800,1024,80,40,forward,RAND,15,84,97.49105072021484,6.000082939863205
175,0.001,10000,1800,512,160,80,forward,LSTM,15,241,97.89312744140625,5.038527771830559
333,0.001,10000,300,1024,320,40,forward,FF,15,346,91.66506958007812,19.93275061249733
354,0.001,10000,300,512,80,80,forward,FF,15,497,95.16346740722656,11.56643033027649
536,0.001,10000,3600,512,40,80,forward,ZERO,15,176,98.23013305664062,4.2325821705162525
420,0.001,10000,300,32,320,10,forward,ZERO,15,493,85.86546325683594,33.802371472120285
84,0.001,10000,300,32,320,20,forward,LSTM,15,735,90.75152587890625,22.117463871836662
746,0.001,10000,3600,32,160,80,forward,RAND,15,174,98.84634399414062,2.7589478995651007
278,0.001,10000,3600,32,320,20,forward,FF,15,401,97.92476654052734,4.962869919836521
314,0.001,10000,3600,32,160,40,forward,FF,15,477,98.54545593261719,3.478499362245202
475,0.001,10000,1800,512,320,20,forward,ZERO,15,13,95.96310424804688,9.654128924012184
248,0.001,10000,3600,512,40,20,forward,FF,15,161,98.20547485351562,4.291555844247341
627,0.001,10000,300,128,40,20,forward,RAND,15,269,95.89462280273438,9.817893616855145
233,0.001,10000,3600,128,320,10,forward,FF,15,764,98.0155029296875,4.74586570635438
639,0.001,10000,300,128,80,20,forward,RAND,15,746,94.14279174804688,14.00735042989254
467,0.001,10000,3600,1024,160,20,forward,ZERO,15,220,98.11810302734375,4.500504117459059
191,0.001,10000,3600,1024,320,80,forward,LSTM,15,463,98.5821304321289,3.3908009063452482
