experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_type,est_hidden_size,seed
109,0.001,10000,1800,32,64,10,ZERO,10,64
286,0.001,10000,300,1024,512,10,FF,30,405
374,0.001,10000,300,128,512,100,ZERO,30,38
92,0.001,10000,300,128,64,100,FF,10,190
367,0.001,10000,1800,32,256,100,ZERO,30,257
148,0.001,10000,300,1024,64,100,ZERO,10,171
70,0.001,10000,300,1024,512,10,FF,10,225
211,0.001,10000,1800,32,512,100,RAND,10,414
363,0.001,10000,1800,128,64,100,ZERO,30,358
165,0.001,10000,1800,128,64,10,RAND,10,103
238,0.001,10000,300,1024,64,40,LSTM,30,287
188,0.001,10000,300,128,256,40,RAND,10,97
397,0.001,10000,1800,32,64,40,RAND,30,99
386,0.001,10000,300,128,256,10,RAND,30,31
120,0.001,10000,300,32,512,10,ZERO,10,284
184,0.001,10000,300,1024,64,40,RAND,10,409
155,0.001,10000,1800,1024,256,100,ZERO,10,398
331,0.001,10000,1800,32,256,10,ZERO,30,178
431,0.001,10000,1800,1024,512,100,RAND,30,172
430,0.001,10000,300,1024,512,100,RAND,30,47
384,0.001,10000,300,32,256,10,RAND,30,244
66,0.001,10000,300,32,512,10,FF,10,343
342,0.001,10000,300,32,64,40,ZERO,30,207
390,0.001,10000,300,32,512,10,RAND,30,403
268,0.001,10000,300,1024,512,100,LSTM,30,406
161,0.001,10000,1800,1024,512,100,ZERO,10,313
308,0.001,10000,300,128,64,100,FF,30,413
373,0.001,10000,1800,32,512,100,ZERO,30,384
174,0.001,10000,300,32,512,10,RAND,10,112
344,0.001,10000,300,128,64,40,ZERO,30,227
221,0.001,10000,1800,1024,64,10,LSTM,30,395
100,0.001,10000,300,1024,256,100,FF,10,176
381,0.001,10000,1800,128,64,10,RAND,30,370
219,0.001,10000,1800,128,64,10,LSTM,30,263
229,0.001,10000,1800,32,512,10,LSTM,30,329
114,0.001,10000,300,32,256,10,ZERO,10,362
408,0.001,10000,300,32,512,40,RAND,30,337
