experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_type,est_hidden_size,seed,FIT
363,0.001,10000,1800,128,64,100,ZERO,30,358,83.82986450195312
165,0.001,10000,1800,128,64,10,RAND,10,103,82.52041625976562
238,0.001,10000,300,1024,64,40,LSTM,30,287,87.26877722715228
188,0.001,10000,300,128,256,40,RAND,10,97,81.97606658935547
397,0.001,10000,1800,32,64,40,RAND,30,99,81.8874740600586
386,0.001,10000,300,128,256,10,RAND,30,31,75.8442153930664
120,0.001,10000,300,32,512,10,ZERO,10,284,79.35950469970703
184,0.001,10000,300,1024,64,40,RAND,10,409,81.8046875
155,0.001,10000,1800,1024,256,100,ZERO,10,398,82.77017211914062
331,0.001,10000,1800,32,256,10,ZERO,30,178,80.88656616210938
431,0.001,10000,1800,1024,512,100,RAND,30,172,83.95861053466797
430,0.001,10000,300,1024,512,100,RAND,30,47,82.5718765258789
384,0.001,10000,300,32,256,10,RAND,30,244,77.21019744873047
66,0.001,10000,300,32,512,10,FF,10,343,83.84123035706156
342,0.001,10000,300,32,64,40,ZERO,30,207,83.32527160644531
390,0.001,10000,300,32,512,10,RAND,30,403,77.03169250488281
268,0.001,10000,300,1024,512,100,LSTM,30,406,83.23644487728114
161,0.001,10000,1800,1024,512,100,ZERO,10,313,92.03227996826172
308,0.001,10000,300,128,64,100,FF,30,413,80.87793959121569
373,0.001,10000,1800,32,512,100,ZERO,30,384,84.49932098388672
174,0.001,10000,300,32,512,10,RAND,10,112,73.45610809326172
344,0.001,10000,300,128,64,40,ZERO,30,227,81.52059936523438
221,0.001,10000,1800,1024,64,10,LSTM,30,395,91.14747157506771
100,0.001,10000,300,1024,256,100,FF,10,176,81.48761029964895
381,0.001,10000,1800,128,64,10,RAND,30,370,78.64220428466797
219,0.001,10000,1800,128,64,10,LSTM,30,263,91.8741710771836
229,0.001,10000,1800,32,512,10,LSTM,30,329,85.59119248194223
114,0.001,10000,300,32,256,10,ZERO,10,362,78.51350402832031
408,0.001,10000,300,32,512,40,RAND,30,337,82.34977722167969
220,0.001,10000,300,1024,64,10,LSTM,30,156,83.75758070841182
82,0.001,10000,300,1024,256,40,FF,10,159,82.76171379438071
309,0.001,10000,1800,128,64,100,FF,30,58,88.71115620394458
166,0.001,10000,300,1024,64,10,RAND,10,208,76.72205352783203
169,0.001,10000,1800,32,256,10,RAND,10,116,82.21428680419922
15,0.001,10000,1800,128,512,10,LSTM,10,332,88.79669474541953
245,0.001,10000,1800,1024,256,40,LSTM,30,44,89.83507610873497
353,0.001,10000,1800,1024,256,40,ZERO,30,324,82.88496398925781
6,0.001,10000,300,32,256,10,LSTM,10,350,85.27427284481998
383,0.001,10000,1800,1024,64,10,RAND,30,151,78.89495849609375
405,0.001,10000,1800,128,256,40,RAND,30,333,84.3911361694336
104,0.001,10000,300,128,512,100,FF,10,246,82.48571483890198
303,0.001,10000,1800,128,512,40,FF,30,11,91.66214092793241
61,0.001,10000,1800,32,256,10,FF,10,59,89.32874121196639
208,0.001,10000,300,1024,256,100,RAND,10,241,83.19509887695312
302,0.001,10000,300,128,512,40,FF,30,258,83.95221112179645
51,0.001,10000,1800,128,512,100,LSTM,10,374,75.72336061225515
90,0.001,10000,300,32,64,100,FF,10,5,86.58860000557385
207,0.001,10000,1800,128,256,100,RAND,10,421,88.85330963134766
22,0.001,10000,300,1024,64,40,LSTM,10,90,87.5899890337899
391,0.001,10000,1800,32,512,10,RAND,30,288,81.64456176757812
218,0.001,10000,300,128,64,10,LSTM,30,2,92.11581604316586
73,0.001,10000,1800,32,64,40,FF,10,76,89.21357513440493
400,0.001,10000,300,1024,64,40,RAND,30,197,80.58795928955078
205,0.001,10000,1800,32,256,100,RAND,10,137,88.95924377441406
4,0.001,10000,300,1024,64,10,LSTM,10,10,83.22890807644822
190,0.001,10000,300,1024,256,40,RAND,10,61,80.94952392578125
164,0.001,10000,300,128,64,10,RAND,10,428,80.78857421875
185,0.001,10000,1800,1024,64,40,RAND,10,162,81.21361541748047
194,0.001,10000,300,128,512,40,RAND,10,224,79.44933319091797
93,0.001,10000,1800,128,64,100,FF,10,134,92.17748312151315
132,0.001,10000,300,32,256,40,ZERO,10,272,82.6634292602539
233,0.001,10000,1800,1024,512,10,LSTM,30,214,90.50562003775569
173,0.001,10000,1800,1024,256,10,RAND,10,254,79.35770416259766
178,0.001,10000,300,1024,512,10,RAND,10,126,76.09551239013672
313,0.001,10000,1800,32,256,100,FF,30,209,89.90814827296575
315,0.001,10000,1800,128,256,100,FF,30,344,91.37437535799333
