experiment_id,lr,epochs,max_time,batch_size,seq_len,est_frac,est_direction,est_type,est_hidden_size,seed
83,0.001,10000,1800,1024,256,0.6,forward,ZERO,8,294
227,0.001,10000,1800,1024,256,0.6,forward,LSTM,32,98
22,0.001,10000,300,1024,256,0.1,backward,LSTM,8,161
276,0.001,10000,300,1024,40,0.6,backward,FF,32,38
284,0.001,10000,300,1024,80,1.0,backward,FF,32,244
270,0.001,10000,300,1024,40,0.1,backward,FF,32,257
288,0.001,10000,300,1024,40,0.1,forward,ZERO,32,127
281,0.001,10000,1800,1024,256,0.6,backward,FF,32,183
220,0.001,10000,300,1024,256,0.1,forward,LSTM,32,235
203,0.001,10000,1800,1024,256,0.1,backward,ZERO,16,252
120,0.001,10000,300,1024,40,1.0,forward,LSTM,16,102
81,0.001,10000,1800,1024,80,0.6,forward,ZERO,8,247
314,0.001,10000,300,1024,80,0.6,backward,ZERO,32,242
13,0.001,10000,1800,1024,40,1.0,forward,LSTM,8,219
322,0.001,10000,300,1024,256,1.0,backward,ZERO,32,47
72,0.001,10000,300,1024,40,0.1,forward,ZERO,8,34
147,0.001,10000,1800,1024,80,0.1,forward,FF,16,118
160,0.001,10000,300,1024,256,1.0,forward,FF,16,96
87,0.001,10000,1800,1024,80,1.0,forward,ZERO,8,137
238,0.001,10000,300,1024,256,0.1,backward,LSTM,32,95
